_id,שם התכשיר,שם בעל תעודת הרישום,מספר רשום,תוארית,תאריך תפוגה,חומרים פעילים,יעוד התכשיר,רשאים להשתמש בתכשיר
68,מדביר תיקנים ונמלים,"סאסאטק אגש""ח בע""מ",573,אירוסול,29/05/2023,"bioallethrin  0.2%, cyfluthrin  0.1%, piperonyl butoxide  0.5%, tetramethrin  0.2%","נמלים, תיקנים",הקהל הרחב
69,מורין בלוק פורטה לתברואה,"אדמה אגן בע""מ",467,פתיון מוכן לשימוש בלוקים,06/02/2025,bromadiolone  0.005%,"חולדות, עכברים",מדבירים בלבד
70,מורין דיפה פסטה,"אדמה מכתשים בע""מ- באר שבע",474,פיתיון מוכן לשימוש בצורת פסטה,11/02/2022,difenacoum  0.005%,"חולדות, עכברים",מדבירים בלבד
71,מורין כופתיות פורטה,"אדמה אגן בע""מ",470,פתיון מוכן לשימוש כופתיות,03/03/2025,bromadiolone  0.005%,"חולדות, עכברים",מדבירים בלבד
72,מורין פורטה פסטה,"אדמה אגן בע""מ",472,פיתיון מוכן לשימוש בצורת פסטה,29/04/2025,bromadiolone  0.005%,"חולדות, עכברים",מדבירים בלבד
73,מורין פקום בלוק,"אדמה מכתשים בע""מ- באר שבע",531,פתיון מוכן לשימוש בלוקים,11/02/2022,brodifacoum  0.005%,"חולדות, עכברים",מדבירים בלבד
74,מורין פקום פסטה,"אדמה אגן בע""מ",506,פיתיון מוכן לשימוש בצורת פסטה,20/02/2025,brodifacoum  0.005%,"חולדות, עכברים",מדבירים בלבד
75,מקספורס פורטה,"לידור אלמנטס בע""מ",563,ג'ל,04/08/2022,fipronil  0.05%,תיקנים,הקהל הרחב
76,מקספורס פתיון לתיקנים,"לידור כימיקלים בע""מ",374,פתיון ג'ל,10/11/2022,imidacloprid  2.15%,תיקנים,הקהל הרחב
77,מקפז,"סנו מפעלי ברונוס בע""מ",437,אירוסול,22/05/2022,"MGK 264  0.5%, deltamethrin  0.036%, piperonyl butoxide  0.5%, tetramethrin  0.4%","חרקים זוחלים אחרים, תיקנים",הקהל הרחב
78,"נוזל ניקוי רצפות דוחה תיקנים ""המותג/מג'יק פואוור""","סאסאטק אגש""ח בע""מ",564,נוזל,15/06/2022,Perfume Citronella  2.0%,תיקנים,הקהל הרחב
79,"נוזל ניקוי רצפות דוחה תיקנים ""סנט מוריץ""","סאסאטק אגש""ח בע""מ",558,נוזל,06/01/2022,citronella oil  0.8%,תיקנים,הקהל הרחב
80,ניבאן,"חזן - מרכז להדברה וחיטוי מי שתיה בע""מ",477,פתיון מוכן לשימוש כופתיות,17/06/2022,boric acid  5.0%,"נמלים, תיקנים",הקהל הרחב
81,נימיקס 45,"אדמה מכתשים בע""מ- באר שבע",500,תרכיז מתחלב,14/06/2022,azadirachtin  4.5%,תהלוכן האורן,מדבירים בלבד
82,נמלן,"אגרולב כימיקלים בע""מ",514,נוזל,27/06/2025,disodium  octaborate tetrahydrate  1.02%,נמלים,הקהל הרחב
83,נפורקס 2%,"אביק תוצרים וטרינריים בע""מ",312,גרגרים,08/08/2025,cyromazine  2.0%,"זחלי פרעושים, רימות זבובים",מדבירים בלבד
84,סולו בלוק,"חברת רימי כימיקלים בע""מ",362,פתיון מוכן לשימוש בלוקים,22/12/2022,brodifacoum  0.005%,"חולדות, עכברים",מדבירים בלבד
85,סופר ג'ל,אר.פי.סי החברה להדברה,611,ג'ל,05/04/2026,fipronil  0.05%,תיקנים,הקהל הרחב
86,סיפז,"אגרימור ישראל בע""מ",483,אבקה רטיבה,18/04/2022,alpha-cypermethrin  5.3%,יתושים בוגרים,מדבירים בלבד
87,סיפזול 20,"תפזול תעשיות כימיות בע""מ",489,תרכיז מתחלב,28/03/2023,cypermethrin  20.0%,"זבובים בוגרים, תיקנים",מדבירים בלבד
88,סיפראקט אבקה,"סיקמקס בע""מ",547,אבקה רטיבה,03/08/2022,cypermethrin  9.75%,"חרקים זוחלים אחרים, נמלים, תיקנים",מדבירים בלבד
89,סיפרימי,"רימי להגנת הצומח והסביבה בע""מ",247,אבקה רטיבה,15/09/2026,cypermethrin  10.0%,"זבובים בוגרים, חרקים זוחלים אחרים, חרקים מעופפים אחרים, יתושים בוגרים, נמלים, תיקנים",מדבירים בלבד
90,סיפרמקס,"סיקמקס בע""מ",294,תרכיז מתחלב,18/03/2022,cypermethrin  20.0%,"זבובים בוגרים, זחלי יתושים, חרקים מעופפים אחרים",מדבירים בלבד
91,סיפרפקט 200 לתברואה,"דור.קי פיתוח ושיווק בע""מ",493,תרכיז מתחלב,25/11/2025,"D-limonene  5.0%, cypermethrin  20.0%","זבובים בוגרים, חרקים זוחלים אחרים, חרקים מעופפים אחרים, יתושים בוגרים, תיקנים",מדבירים בלבד
92,סנו K 4000,"סנו מפעלי ברונוס בע""מ",599,מיקרואמולסיה,04/05/2025,"phenothrin  0.14%, piperonyl butoxide  0.6%, prallethrin  0.1%","זבובים בוגרים, חרקים מעופפים אחרים, יתושים בוגרים",הקהל הרחב
93,"סנו K מעופפים פירטרום - קוטל  יתושים, זבובים","סנו מפעלי ברונוס בע""מ",517,אירוסול,21/02/2023,"piperonyl butoxide  1.5%, pyrethrum  0.25%","זבובים בוגרים, חרקים מעופפים אחרים, יתושים בוגרים",הקהל הרחב
94,סנו K רב קוטל,"סנו מפעלי ברונוס בע""מ",621,אירוסול,27/05/2022,"deltamethrin  0.02%, piperonyl butoxide  1.0%, prallethrin  0.1%","זבובים בוגרים, חרקים זוחלים אחרים, חרקים מעופפים אחרים, יתושים בוגרים, נמלים, תיקנים",הקהל הרחב
95,סנו K-2000,"אלמנדה ישראל בע""מ",343,תמיסה מוכנה לשימוש בתוארית מיקרוקפסולרית,01/04/2026,cyphenothrin  0.3%,"חרקים זוחלים אחרים, פרעושים, תיקנים",הקהל הרחב
96,סנו K-301,"סנו מפעלי ברונוס בע""מ",516,אירוסול,21/02/2023,"cypermethrin  0.3%, esbiothrin  0.3%, piperonyl butoxide  1.0%","חרקים זוחלים אחרים, נמלים, תיקנים",הקהל הרחב
97,סנו K-400,"סנו מפעלי ברונוס בע""מ",442,אירוסול,17/11/2022,"MGK 264  1.0%, piperonyl butoxide  0.6%, tetramethrin  0.65%","זבובים בוגרים, חרקים מעופפים אחרים, יתושים בוגרים",הקהל הרחב
98,סנו K-401 - קוטל יתושים זבוביםוחרקים מעופפים אחרים,"סנו מפעלי ברונוס בע""מ",548,אירוסול,13/05/2022,"d-phenothrin  0.15%, piperonyl butoxide  1.0%, tetramethrin  0.3%, transfluthrin  0.05%","זבובים בוגרים, חרקים מעופפים אחרים, יתושים בוגרים",הקהל הרחב
99,סנו K-600 (חדש),"סנו מפעלי ברונוס בע""מ",496,אירוסול,01/01/2028,"MGK 264  1.0%, esbiothrin  0.08%, phenothrin  0.15%, piperonyl butoxide  1.0%, tetramethrin  0.3%","זבובים בוגרים, יתושים בוגרים, מזיקי בד אחרים, מזיקי ספרים, עש",הקהל הרחב
100,סנו K800,"סנו מפעלי ברונוס בע""מ",622,אירוסול,18/02/2027,"cypermethrin  0.1%, imiprothrin  0.1%, piperonyl butoxide  1.0%",נמלים,הקהל הרחב
